title,link,rubric,date,image_url,club_tags,league,scraped_at
«Бавария» обыграла клуб из третьей лиги Германии благодаря голу Кейна на 90+4‑й минуте27 августа 23:51,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2237692_Bavarija_obygrala_klub_iz_tretjej_ligi_Germanii_blagodara_golu_Kejna_na_904j_minute,Германия,27 августа 23:51,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Бавария,Бундеслига,2025-10-14 09:32:05
Пятикратный победитель Лиги чемпионов в составе «Реала» Лукас Васкес перейдет в «Байер» — СМИ26 августа 04:44,https://news.sportbox.ru/Vidy_sporta/Futbol/transfers/spbnews_NI2236978_Patikratnyj_pobeditel_Ligi_chempionov_v_sostave_Reala_Lukas_Vaskes_perejdet_v_Bajjer__SMI,Трансферы,26 августа 04:44,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Реал Мадрид, Реал",Бундеслига,2025-10-14 09:32:05
Дортмундская «Боруссия» в меньшинстве упустила победу над «Санкт‑Паули»23 августа 21:49,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2236038_Dortmundskaja_Borussija_v_menshinstve_upustila_pobedu_nad_SanktPauli,Германия,23 августа 21:49,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Боруссия Дортмунд,Бундеслига,2025-10-14 09:32:05
«Байер» проиграл «Хоффенхайму» в первом официальном матче под руководством тен Хага23 августа 18:47,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2235910_Bajjer_proigral_Khoffenkhajmu_v_pervom_oficialnom_matche_pod_rukovodstvom_ten_Khaga,Германия,23 августа 18:47,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Хоффенхайм,Бундеслига,2025-10-14 09:32:05
Хет‑трик Кейна помог «Баварии» разгромить «Лейпциг» в первом туре Бундеслиги22 августа 23:36,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2235583_Hetrtrik_Kejna_pomog_Bavarii_razgromit_Lejpcig_v_pervom_ture_Bundesligi,Европа,22 августа 23:36,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,РБ Лейпциг,Бундеслига,2025-10-14 09:32:05
"Тренер «Боруссии» — о травме Коуто: «Раньше не видел ничего подобного. Это было нападение, соперник перешел все рамки»19 августа 11:33",https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/Kubok_Germanii/spbnews_NI2234252_Trener_Borussii__o_travme_Kouto_Ranshe_ne_videl_nichego_podobnogo_Eto_bylo_napadenije_sopernik_pereshel_vse_ramki,Кубок Германии,19 августа 11:33,,,Бундеслига,2025-10-14 09:32:05
Дебютный гол Луиса Диаса помог «Баварии» обыграть «Штутгарт» в матче за Суперкубок Германии16 августа 23:31,https://news.sportbox.ru/Vidy_sporta/Futbol/spbnews_NI2233388_Debutnyj_gol_Luisa_Diasa_pomog_Bavarii_obygrat_Shtutgart_v_matche_za_Superkubok_Germanii,Футбол,16 августа 23:31,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
"Хуммельс провел прощальный матч, его «Боруссия» проиграла «Ювентусу»10 августа 21:05",https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2231215_Hummels_provel_proshhalnyj_match_jego_Borussija_proigrala_Juventusu,Европа,10 августа 21:05,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,"Ювентус, Боруссия Дортмунд",Бундеслига,2025-10-14 09:32:05
Гол Кейна помог «Баварии» разгромить «Тоттенхэм» в товарищеском матче7 августа 21:40,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/spbnews_NI2230175_Gol_Kejna_pomog_Bavarii_razgromit_Tottenkhem_v_tovarishheskom_matche,Европа,7 августа 21:40,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,Тоттенхэм,Бундеслига,2025-10-14 09:32:05
Чемпион мира по футболу немец Милль умер в возрасте 67 лет5 августа 15:04,https://news.sportbox.ru/Vidy_sporta/Futbol/Evropejskie_chempionaty/Germaniya/spbnews_NI2229257_Chempion_mira_po_futbolu_nemec_Mill_umer_v_vozraste_67_let,Германия,5 августа 15:04,https://s-cdn.sportbox.ru/images/styles/160_90/service/no-available-image-big.png,,Бундеслига,2025-10-14 09:32:05
